epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3329.66,0.84591,0.71168,1.20872,0.76496,0.80069,0.83555,0.57229,1.21043,0.81322,1.4785,3.50812e-05,3.50812e-05,3.50812e-05
41,3412.71,0.84832,0.60117,1.21306,0.76972,0.78759,0.8351,0.56744,1.21165,0.79522,1.47375,3.2032e-05,3.2032e-05,3.2032e-05
42,3495.22,0.82484,0.57665,1.1941,0.78462,0.78891,0.83464,0.56495,1.21549,0.78042,1.46914,2.89828e-05,2.89828e-05,2.89828e-05
43,3577.68,0.81115,0.55937,1.18742,0.78499,0.7907,0.83826,0.56991,1.21634,0.79372,1.47811,2.59336e-05,2.59336e-05,2.59336e-05
44,3660.14,0.80068,0.54579,1.18063,0.76404,0.80828,0.84111,0.571,1.21656,0.79199,1.48918,2.28844e-05,2.28844e-05,2.28844e-05
45,3742.56,0.78876,0.53646,1.17064,0.78741,0.78595,0.83813,0.57006,1.22357,0.79002,1.49574,1.98352e-05,1.98352e-05,1.98352e-05
46,3825.08,0.77587,0.52591,1.16275,0.77649,0.7989,0.84135,0.5745,1.2196,0.78386,1.49297,1.6786e-05,1.6786e-05,1.6786e-05
47,3907.58,0.76415,0.51615,1.15467,0.78354,0.78941,0.83616,0.57044,1.22315,0.7958,1.50067,1.37368e-05,1.37368e-05,1.37368e-05
48,3989.96,0.75679,0.50727,1.14781,0.76283,0.80974,0.83596,0.57161,1.22454,0.79378,1.50649,1.06876e-05,1.06876e-05,1.06876e-05
49,4072.35,0.74745,0.50116,1.14153,0.79922,0.77715,0.83826,0.57419,1.22376,0.78564,1.50757,7.6384e-06,7.6384e-06,7.6384e-06
50,4154.74,0.74136,0.4931,1.14043,0.81007,0.77053,0.83931,0.57491,1.22778,0.78104,1.51854,4.5892e-06,4.5892e-06,4.5892e-06
